"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.419673333E-1,2.905178499E-1,8.809356630E-1,-1.798545063E-1
7.519173333E-1,2.640466641E-1,6.751826692E-1,9.092595756E-2
7.618673333E-1,2.052566748E-1,5.050021254E-1,2.306393284E-1
7.718173334E-1,1.229732309E-1,2.971708667E-1,2.460449874E-1
7.817673333E-1,9.560771350E-2,1.940989814E-1,8.114531994E-2
7.917173333E-1,7.220854517E-2,3.112034351E-1,-1.686027092E-1
8.016673333E-1,-6.478535872E-2,4.528057854E-1,-1.615772796E-1
8.116163333E-1,-4.183532964E-2,4.808452675E-1,-4.063347101E-2
8.215663334E-1,4.757057112E-2,4.824661157E-1,6.409834743E-2
8.315163333E-1,1.220448393E-1,4.222613927E-1,4.776824355E-2
8.414663333E-1,1.147509676E-1,3.546930882E-1,-1.292287284E-1
8.514163333E-1,5.466587495E-2,4.021948083E-1,-4.869005710E-1
8.613663334E-1,-4.542091537E-2,4.752873429E-1,-8.250929993E-1
8.713163333E-1,4.069057273E-2,4.594845117E-1,-8.934299934E-1
8.812663333E-1,1.959761569E-1,4.784564607E-1,-4.209585965E-1
8.912163333E-1,3.730833489E-1,3.635092641E-1,2.520711279E-1
9.011663334E-1,4.786352758E-1,2.270199384E-1,9.145524752E-1
9.111163334E-1,4.699792040E-1,3.712649379E-2,1.355430197E0
9.210663333E-1,3.540133128E-1,-1.633672585E-1,1.478708798E0
9.310163333E-1,1.947120985E-1,-2.365256107E-1,1.242694709E0
9.409653333E-1,1.058852183E-2,-1.144221166E-1,9.150500733E-1
9.509153333E-1,-1.364086524E-1,1.996283278E-1,5.030692917E-1
9.608653334E-1,-2.189251444E-1,4.631963973E-1,1.124033654E-1
9.708153333E-1,-3.892131856E-1,7.142545681E-1,-1.827471238E-1
9.807653333E-1,-5.981766297E-1,8.299622682E-1,-3.737744898E-1
9.907153333E-1,-8.246339198E-1,7.875123596E-1,-2.716470212E-1
1.000665333E0,-9.291767270E-1,6.567686176E-1,1.319956309E-1
1.010615333E0,-8.280101752E-1,3.136654783E-1,6.358624828E-1
1.020565333E0,-7.287889921E-1,-4.306072332E-2,9.959194046E-1
1.030515333E0,-7.062595240E-1,-3.357674784E-1,1.202797987E0
1.040465333E0,-7.760393185E-1,-4.874612459E-1,1.185662722E0
1.050414333E0,-8.115246816E-1,-5.285097596E-1,1.072537225E0
1.060364333E0,-7.409194795E-1,-4.364935521E-1,8.334170955E-1
1.070314333E0,-4.957721858E-1,-2.884206729E-1,4.415454733E-1
1.080264333E0,-2.773989455E-1,-9.010738391E-2,2.072604060E-1
1.090214333E0,-4.041317716E-2,1.151682213E-1,2.607238376E-1
1.100164333E0,1.624493918E-1,2.497986441E-1,4.465132678E-1
1.110114333E0,3.144851848E-1,2.654424310E-1,6.362647712E-1
1.120064333E0,4.458579045E-1,1.544910024E-1,7.799139029E-1
1.130014333E0,6.112917517E-1,-5.886355452E-2,7.449650949E-1
1.139964333E0,6.666412758E-1,-1.808219464E-1,4.979026920E-1
1.149914333E0,6.742891415E-1,-1.686784672E-1,5.279451013E-2
1.159864333E0,6.716114822E-1,-5.572350835E-2,-4.786571664E-1
1.169813333E0,6.618605192E-1,1.616249344E-1,-8.785160851E-1
1.179763333E0,6.885631451E-1,4.909462595E-1,-1.078618330E0
1.189713333E0,8.494134696E-1,1.170812402E0,-1.035336070E0
1.199663333E0,6.554997718E-1,8.668030158E-1,-4.538977164E-1
1.209613333E0,4.878611223E-1,1.515179308E-1,2.884747231E-1
1.219563333E0,8.474456622E-1,-3.437813067E-1,6.094699055E-1
1.229513333E0,7.250388072E-1,-7.628189101E-1,6.184874815E-1
1.239463333E0,3.162749079E-1,-1.023309736E0,2.918526596E-1
1.249413333E0,-6.283690201E-2,-1.014734575E0,-3.794310862E-1
1.259363333E0,-1.997773587E-1,-8.498045021E-1,-7.776668179E-1
1.269313333E0,-1.846432114E-1,-5.415920275E-1,-9.966193163E-1
1.279262333E0,-1.476528481E-1,-1.846369988E-1,-7.216768044E-1
1.289212333E0,-1.112995938E-1,1.345940787E-1,-1.145481241E-1
1.299162333E0,-2.978856477E-2,3.164501417E-1,3.202455693E-1
1.309112333E0,8.721455620E-3,2.934129891E-1,6.797762418E-1
1.319062333E0,2.464225897E-2,1.428234865E-1,7.600041336E-1
1.329012333E0,-1.143769834E-1,1.082286727E-2,4.052494669E-1
1.338962333E0,-3.286139582E-1,-7.806241203E-2,-2.979665083E-1
1.348912333E0,-4.569358931E-1,-1.212817411E-1,-1.107659111E0
1.358862333E0,-4.791598807E-1,4.295276910E-2,-1.853270323E0
1.368812333E0,-5.164618641E-1,4.327535999E-1,-2.160085423E0
1.378762333E0,-4.444564000E-1,7.283051350E-1,-1.859682380E0
1.388712333E0,-1.737386476E-1,7.741155115E-1,-1.137980433E0
1.398661333E0,1.266024515E-1,7.044370931E-1,-2.947774369E-1
1.408611333E0,4.017560479E-1,6.162754798E-1,5.078447127E-1
1.418561333E0,6.653953803E-1,5.204913997E-1,1.159437960E0
1.428511333E0,7.905505729E-1,5.109526175E-1,1.509576834E0
1.438461333E0,7.618403055E-1,6.358005754E-1,1.288733931E0
1.448411333E0,6.293220797E-1,8.326747915E-1,6.405560428E-1
1.458361333E0,5.701384998E-1,1.001083665E0,-1.743902832E-1
1.468311333E0,5.006140824E-1,1.150740373E0,-7.132433653E-1
1.478261333E0,4.397839996E-1,1.235734915E0,-6.829080105E-1
1.488211333E0,4.424814664E-1,1.163665643E0,-3.225142890E-1
1.498160333E0,4.092171682E-1,1.052283786E0,1.455219948E-1
1.508110333E0,3.010941108E-1,9.238124183E-1,6.104656863E-1
1.518060333E0,1.624702042E-1,7.406480225E-1,9.452714074E-1
1.528010333E0,4.826226018E-2,5.197669296E-1,1.134273298E0
1.537960333E0,-1.486499263E-2,2.933901849E-1,1.219889984E0
1.547910333E0,-2.159569699E-1,1.835726411E-1,1.134130041E0
1.557860333E0,-4.632935341E-1,1.440224764E-1,8.797732365E-1
