"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.068814075E1,6.500839547E1,2.560277502E1,2.287906728E1,1.228147846E0,1.726846358E2,4.748651587E0,4.079532787E0
4.168813455E1,6.500838343E1,2.560279031E1,2.300466294E1,1.323454205E0,1.615894575E2,4.748651575E0,3.838223888E0
4.268812859E1,6.500837348E1,2.560279172E1,2.312429795E1,1.266809456E0,1.683169360E2,4.748651577E0,3.841757215E0
4.368812299E1,6.500835838E1,2.560280968E1,2.316217440E1,1.660543825E0,1.606040517E2,4.748651619E0,4.043695361E0
4.468811655E1,6.500834789E1,2.560280712E1,2.341707407E1,1.448902760E0,1.677973620E2,4.748651611E0,4.108949308E0
4.568811131E1,6.500833864E1,2.560281391E1,2.374112461E1,1.372481860E0,1.665254139E2,4.748651610E0,4.100698568E0
4.668810582E1,6.500832550E1,2.560281361E1,2.338190053E1,1.481845139E0,1.671868365E2,4.748651618E0,4.092327964E0
4.768810058E1,6.500831260E1,2.560281681E1,2.343545588E1,1.425061530E0,1.659591942E2,4.748651613E0,4.108596967E0
4.868809521E1,6.500830046E1,2.560281081E1,2.340963863E1,1.393831922E0,1.790282843E2,4.748651613E0,4.304444052E0
4.968808866E1,6.500828393E1,2.560283087E1,2.269754348E1,1.692272559E0,1.637342457E2,4.748651610E0,4.049207628E0
5.068808413E1,6.500827631E1,2.560283228E1,2.321382622E1,1.341124084E0,1.687221980E2,4.748651577E0,3.962308144E0
5.168807864E1,6.500826136E1,2.560283510E1,2.257260345E1,1.674681190E0,1.689996698E2,4.748651634E0,4.291948611E0
5.268807411E1,6.500825181E1,2.560283658E1,2.278069074E1,1.295219545E0,1.688811328E2,4.748651569E0,3.818568312E0
5.368806827E1,6.500823958E1,2.560283361E1,2.273956828E1,1.392041776E0,1.738319454E2,4.748651569E0,3.781985967E0
5.468806434E1,6.500823112E1,2.560284060E1,2.270801316E1,1.156242011E0,1.649786009E2,4.748651594E0,4.354203868E0
5.568805838E1,6.500821962E1,2.560285173E1,2.290414013E1,1.302413083E0,1.626011585E2,4.748651606E0,4.390857799E0
5.668805337E1,6.500820816E1,2.560286028E1,2.350855432E1,1.308427082E0,1.721281425E2,4.748651577E0,3.920477843E0
